DateTime,AddedIPs,RemovedIPs
1582269011,29,28
1582270212,26,71
1582271772,30,12
1582272910,29,50
1582274321,25,104
1582276211,81,45
1582276448,11,1
1582277932,55,59
1582278972,46,14
1582280049,32,36
1582280889,36,1
1582282507,57,74
1582283711,39,56
1582284909,28,82
1582286157,29,29
1582287249,55,44
1582288090,22,1
1582288938,17,82
1582290848,45,36
1582292539,62,81
1582293373,25,0
1582294509,26,44
1582296461,45,122
1582297810,46,45
1582298944,32,3
1582300109,39,106
1582301411,35,55
1582301649,9,0
1582303333,51,107
1582305250,64,49
1582306649,51,70
1582307806,43,16
1582308851,50,31
1582309688,30,3
1582311009,55,78
1582312449,53,37
1582314028,55,62
1582316051,56,41
1582317623,58,98
1582319328,55,40
1582319650,9,1
1582321348,48,102
1582322171,27,3
1582323280,38,60
1582324938,71,109
1582326617,67,42
1582327690,34,4
1582328995,43,85
1582330213,53,38
1582331292,47,1
1582333402,71,151
1582335013,37,60
1582336569,30,23
1582337649,18,46
1582339332,51,60
1582340521,58,28
1582342211,54,61
1582342929,26,29
1582344613,48,34
1582346530,61,61
1582347138,13,0
1582348510,41,30
1582350130,55,60
1582351230,28,27
1582352889,42,1
1582353728,28,54
1582355409,35,33
1582356612,25,46
1582358173,41,17
1582359247,25,33
1582361107,34,54
1582362911,49,32
1582364124,27,43
1582365270,42,16
1582366509,35,44
1582367291,25,4
1582368907,45,72
1582370048,36,34
1582371311,37,53
1582372509,36,20
1582373709,28,35
1582374908,29,45
1582376598,52,58
1582378088,31,6
1582378930,22,68
1582379769,19,2
1582380847,23,54
1582382528,31,80
1582384448,42,40
1582386025,22,73
1582386969,10,4
1582388115,30,33
1582389911,39,74
1582390567,16,3
1582391713,30,42
1582393330,38,69
1582395009,42,35
1582396209,31,58
1582397708,40,29
1582398853,22,56
1582400423,40,55
1582402447,53,66
1582404127,39,120
1582405809,53,55
1582407013,37,70
1582408207,40,18
1582409408,28,41
1582410488,19,1
1582412169,40,50
1582413311,18,40
1582415534,63,57
1582416849,30,29
1582418427,43,55
1582420209,53,28
1582422132,63,64
1582422984,14,0
1582424110,25,54
1582425309,29,54
1582426531,20,22
1582427649,20,67
1582429227,33,67
1582431013,42,38
1582432929,41,72
1582433780,14,3
1582434848,24,26
1582436425,31,49
1582437605,23,17
1582438448,23,4
1582439681,34,50
1582441409,36,38
1582443012,45,44
1582445650,54,51
1582446488,25,2
1582448662,56,106
1582450208,47,45
1582450930,15,19
1582452610,58,37
1582454380,96,57
1582456447,71,52
1582457780,39,66
1582458908,29,11
1582460108,25,24
1582460888,12,1
1582461728,13,55
1582463648,53,33
1582465329,48,58
1582466533,31,40
1582468089,43,5
1582468929,27,77
1582470091,37,47
1582471225,30,4
1582472324,26,46
1582474224,47,42
1582474448,10,0
1582476054,40,73
1582478048,27,21
1582479307,43,63
1582481648,69,48
1582482488,23,1
1582484171,71,68
1582484433,17,32
1582486088,35,1
1582486928,23,62
1582488617,154,32
1582490529,182,45
1582491724,118,26
1582493111,117,2
1582494968,147,65
1582496111,111,44
1582497728,133,63
1582499648,119,39
1582501225,64,66
1582502855,27,28
1582504087,19,1
1582504929,10,45
1582506609,18,24
1582507688,17,3
1582509369,24,46
1582510511,12,32
1582511288,6,1
1582512607,12,80
1582513810,14,26
1582515010,13,35
1582515729,7,11
1582516568,9,0
1582517709,23,34
1582518860,13,36
1582521253,33,56
1582522929,20,69
1582524034,25,23
1582525214,21,0
1582526425,8,55
1582527588,28,30
1582528812,44,3
1582530022,60,67
1582532049,124,42
1582533730,89,67
1582535411,86,27
1582537328,103,55
1582539248,85,36
1582540458,69,127
1582541754,57,32
1582542847,68,31
1582544112,53,44
1582545324,36,20
1582546526,25,28
1582547923,21,42
1582549045,23,9
1582551767,40,67
1582553649,35,18
1582555192,17,24
1582556875,20,45
1582558210,5,36
1582560848,39,52
1582561689,31,0
1582563311,56,46
1582563634,5,20
1582564812,31,1
1582565287,14,0
1582568048,64,77
1582568889,15,0
1582569729,19,51
1582570978,34,28
1582572322,48,0
1582574168,76,60
1582575248,21,33
1582577109,32,63
1582578608,241,32
1582579689,128,1
1582580853,97,57
1582582210,117,23
1582583289,64,1
1582584928,80,51
1582586114,45,58
1582587621,87,66
1582588571,30,4
1582589710,62,38
1582591331,62,56
1582593014,74,42
1582594931,54,54
1582595767,27,3
1582596910,43,39
1582598109,36,37
1582600209,69,33
1582601429,38,42
1582602582,34,15
1582603811,36,34
1582605009,33,38
1582606570,39,13
1582607647,34,23
1582608488,22,4
1582609331,31,50
1582610578,41,30
1582611766,43,4
1582613124,44,63
1582613768,19,0
1582614924,31,34
1582615689,26,1
1582617010,23,64
1582618232,44,38
1582619288,31,3
1582620968,55,81
1582622047,31,40
1582622888,31,1
1582624836,44,93
1582626011,42,4
1582627224,29,66
1582629017,60,34
1582630436,52,53
1582632848,70,42
1582634108,29,56
1582636079,36,51
1582638131,50,82
1582639702,40,48
1582641010,27,59
1582643409,55,86
1582645335,39,95
1582646169,9,2
1582647249,23,17
1582648508,17,43
1582650847,31,51
1582652042,16,31
1582654209,45,47
1582656132,31,43
1582657807,22,26
1582659730,43,136
1582661649,36,84
1582662910,25,128
1582664199,50,43
1582665323,52,92
1582666511,68,146
1582668610,116,135
1582670109,54,84
1582671640,70,38
1582672810,56,2
1582674132,54,36
1582676048,56,17
1582677308,52,27
1582678521,37,9
1582679618,47,12
1582680488,24,3
1582682168,42,33
1582683247,25,16
1582684088,19,1
1582684929,16,21
1582686559,36,18
1582687813,33,35
1582689309,59,9
1582690508,33,26
1582691287,18,2
1582692910,37,32
1582694048,38,16
1582695731,43,33
1582697649,63,33
1582699327,45,88
1582701248,41,68
1582702509,27,103
1582704145,32,112
1582704848,19,1
1582705993,23,104
1582707368,35,39
1582708510,40,70
1582709854,26,105
1582711537,38,109
1582712047,13,0
1582713621,27,148
1582715709,54,45
